title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Stadthaus mit Charme und Traumgarten,559.000 €,"40723 Hilden, Mettmann (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","5,5","123,21 m²",450 m²,4.537 €/m²,Doppelhaushälfte,nil,nach Vereinbarung,nil,2,2 Stellplätze,nil,{'is24qa-keller-label': ''}
Einfamilienhaus in bester Lage,420.000 €,"Stieghorst, 33604 Bielefeld
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,128 m²,1.416 m²,3.281 €/m²,Einfamilienhaus (freistehend),nil,nach Absprache,2,1,1 Garage,"4,165 %","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Exklusive Doppelhaushälfte mit modernem Komfort und idyllischem Wohnambiente!,369.000 €,"48727 Billerbeck, Coesfeld (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,"116,93 m²",405 m²,3.156 €/m²,Doppelhaushälfte,"23,76 m²",nil,2,1,1 Außenstellplatz,"3,57 %",{}
Attraktives Mehrfamilienhaus mit sechs Wohneinheiten auf großzügigem Eigentumsgrundstück!,799.000 €,"48727 Billerbeck, Coesfeld (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",19,689 m²,1.600 m²,1.160 €/m²,Mehrfamilienhaus,"108,24 m²",nil,9,6,nil,"5,95 %",{}
Mehrfamilienhaus in Straelen,550.000 €,"47638 Straelen, Kleve (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",13,319 m²,500 m²,1.724 €/m²,Mehrfamilienhaus,319 m²,nil,nil,nil,4 Stellplätze,"4,76%",{}
Reihenhaus in Top Lage ab 1300€ Mntl.,399.000 €,"Am Doktorkamp 16,
33818 Leopoldshöhe, Lippe (Kreis)",4,106 m²,200 m²,3.764 €/m²,Doppelhaushälfte,8 m²,nil,3,1,1 Stellplatz,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Wohn-und Geschäftshaus in 1 A- Lage von Solingen- Ohligs!,1.190.000 €,"Ohligs/Aufderhöhe/Merscheid, 42697 Solingen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",40,"727,31 m²",500 m²,1.636 €/m²,Mehrfamilienhaus,400 m²,nil,nil,nil,nil,"5, 95 % Provision inkl. MwSt. werden für den Käufer nach Kaufvertragsabschluß fällig. inkl. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Schönes Reihenendhaus in bevorzugter Lage,259.000 €,"Buer, 45894 Gelsenkirchen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,115 m²,260 m²,2.252 €/m²,Reiheneckhaus,50 m²,sofort,3,2,1 Außenstellplatz,"3,57%",{'is24qa-keller-label': ''}
Neubau oder Revitalisierung?,595.000 €,"Frankenforst, 51427 Bergisch Gladbach
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,110 m²,859 m²,5.409 €/m²,nil,nil,nil,nil,nil,nil,"3,57 % des Kaufpreises",{}
Versteigerung eines Einfamilienhauses mit ELW am 04.09.2024,551.000 €,"Schillerstraße 40,
52224 Stolberg (Rheinland), Aachen (Kreis)",9,338 m²,1.717 m²,1.630 €/m²,Einfamilienhaus (freistehend),30 m²,nil,4,3,2 Garagen,Nein,"{'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Villa im Schmachtenbergviertel von Essen-Kettwig,1.950.000 €,"Kemmannsweg 9b,
Kettwig, 45219 Essen",11,398 m²,1.868 m²,4.899 €/m²,Villa,260 m²,nil,5,5,2 Garagen,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Luxuriöses freistehendes Haus nebst Einliegerwohnung in Eschw.-Hastenrath zur Zwangsversteigerung,Auf Anfrage,"Hamicher Weg 24-26,
52249 Eschweiler, Aachen (Kreis)",6,233 m²,870 m²,nil,Einfamilienhaus (freistehend),233 m²,nil,4,4,1 Garage,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': '', 'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Wohnen & Vermieten - Ihr neues Zuhause mit insgesamt 8 Wohnungen und Werkshalle,1.990.000 €,"53332 Bornheim, Rhein-Sieg-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",24,"959,97 m²","1.257,69 m²",2.073 €/m²,nil,nil,nil,nil,nil,nil,"Käuferprovision 4,76 % (inkl. MwSt.) des beurkundeten Kaufpreises.",{}
Wohnen & Vermieten - Ihr neues Zuhause mit insgesamt 8 Wohnungen und Werkshalle,1.990.000 €,"50321 Brühl, Rhein-Erft-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",24,"959,97 m²","1.257,69 m²",2.073 €/m²,nil,nil,nil,nil,nil,nil,"Käuferprovision 4,76 % (inkl. MwSt.) des beurkundeten Kaufpreises.",{}
