title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Attraktives Objekt mit 2 Wohneinheiten in guter Lage von Hamburg-Rönneburg -mehrgenerationengeeignet,698.000 €,"Rönneburg, 21079 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,162 m²,672 m²,4.309 €/m²,Mehrfamilienhaus,nil,sofort,4,3,2 Carports,"2,38 % Käuferprovision inkl. 19 % MwSt.",{'is24qa-keller-label': ''}
Charmanter Familientraum in Eidelstedt.,499.000 €,"Eidelstedt, 22523 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,114 m²,257 m²,4.377 €/m²,Doppelhaushälfte,nil,nil,2,1,2 Carports,3.57 % inkl. MwSt.,{'is24qa-gaeste-wc-label': ''}
Familientraum: komfortables Haus mit Garten,819.000 €,"Rahlstedt, 22149 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","6,5",199 m²,654 m²,4.116 €/m²,Einfamilienhaus (freistehend),56 m²,nach Vereinbarung,4,2,2 Außenstellplätze,"3,25 % inkl. ges. MwSt.",{}
Ihre Ruheoase in Neuengamme Bungalow mit Vollkeller auf tollem Grundstück,395.000 €,"Neuengamme, 21037 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,110 m²,1.010 m²,3.591 €/m²,Bungalow,110 m²,Nach Absprache,3,1,1 Garage,"3,57 % des Kaufpreises inkl. 19 % USt","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
"Zeit sich in ein Haus zu verlieben...! Sonnig, gut gedämmt, teilweise barrierefrei, Kaminöfen uvm..",1.180.000 €,"Sülldorf, 22589 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,140 m²,490 m²,8.429 €/m²,Einfamilienhaus (freistehend),40 m²,1 Quartal 2025,4,2,1 Carport,Der Käufer zahlt 3% des Kaufpreises inkl. Mwst. an TW Immobilien.,{}
Solides Einfamilienhaus mit großem Baufenster,499.000 €,"Billstedt, 22119 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","3,5",100 m²,587 m²,4.990 €/m²,Einfamilienhaus (freistehend),nil,nach Vereinbarung,2,1,1 Garage,"3,57 % inkl. MwSt.",{'is24qa-keller-label': ''}
"Am Karpfenteich 42 b, eine feine Adresse für Ihr neues Zuhause...",798.000 €,"Am Karpfenteich 42,
Hummelsbüttel, 22339 Hamburg",5,145 m²,800 m²,5.503 €/m²,Einfamilienhaus (freistehend),145 m²,auf Wunsch kurzfristig,3,2,Garage,"2.5 % inkl.Mwst, bezogen auf den Kaufpreis.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Urgemütliches Einfamilienhaus in Hamburg - Niendorf,578.000 €,"Niendorf, 22455 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,103 m²,567 m²,5.612 €/m²,Einfamilienhaus (freistehend),nil,nil,2,1,4 Stellplätze,"3,57 % inkl. ges. MwSt.",{}
Reihenhaus mit Wärmepumpe für die kleine Familie!,439.000 €,"Billstedt, 22117 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,86 m²,208 m²,5.105 €/m²,nil,nil,26.09.2023,nil,2,1 Außenstellplatz,2%,{'is24qa-gaeste-wc-label': ''}
BLANKENESE: ATTRAKTIVE DOPPELHAUSHÄLFTE,1.400.000 €,"Blankenese, 22587 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","4,5",140 m²,363 m²,10.000 €/m²,Doppelhaushälfte,nil,Nach Vereinbarung,nil,nil,nil,"3,57% inkl. MwSt.",{'is24qa-online-besichtigung-moeglich-label': ''}
Das Haus im Architektenhaus!,930.000 €,"Poppenbüttel, 22393 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,186 m²,1.135 m²,5.000 €/m²,nil,78 m²,Nach Absprache,3,3,1 Garage,"2,5 %","{'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}"
Reihenmittelhaus in der Toplage von Hamburg-Harburg-Langenbek von privat,590.000 €,"Rönneburg, 21079 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,105 m²,212 m²,5.619 €/m²,Reihenmittelhaus,"131,92 m²",nach Absprache,3,1,1 Außenstellplatz,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
PERFEKTE INVESTITION IN TOP ZUSTAND,549.500 €,"Billstedt, 22117 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8,159 m²,300 m²,3.456 €/m²,Mehrfamilienhaus,nil,nil,nil,nil,nil,5.95% inkl. MwSt.,{}
Energieefiziente DHH in Hamburg-Kirchsteinbek!,539.500 €,"Billstedt, 22117 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,"90,48 m²",1 m²,5.963 €/m²,Doppelhaushälfte,nil,sofort nach Vereinbarung,2,2,1 Stellplatz,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Offene Besichtigung am 26.06. um 17 Uhr: Effizienzhaus-Träume werden Realität – Ihr Zuhause wartet!,855.000 €,"Lemsahl-Mellingstedt, 22397 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,"152,8 m²",245 m²,5.596 €/m²,Doppelhaushälfte,nil,nach Vereinbarung,4,2,nil,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
Energieeffiziente (A+) Familien-Villa mitten in Othmarschen!,Auf Anfrage,"Othmarschen, 22605 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8,520 m²,1.152 m²,nil,Villa,nil,nil,nil,2,2 Stellplätze,"2,5 % inkl. MwSt. inkl. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Charmantes Rotklinkerhaus in Wandsbek/Marienthal von privat - keine Provision -,740.000 €,"Wandsbek (Ortsteil), 22041 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,130 m²,551 m²,5.692 €/m²,Einfamilienhaus (freistehend),69 m²,nach Absprache,2,2,1 Garage,Nein,"{'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Einfamilienhaus mit Baugrundstück in grüner Lage von Iserbrook,819.000 €,"Iserbrook, 22589 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,113 m²,1.029 m²,7.248 €/m²,Einfamilienhaus (freistehend),nil,nil,3,1,2 Außenstellplätze,"3,13 % inkl. MwSt. vom Verkaufspreis","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-keller-label': ''}"
Charmantes kernsaniertes Einfamilienhaus in HH-Fuhlsbüttel,830.000 €,"Fuhlsbüttel, 22335 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,135 m²,483 m²,6.148 €/m²,Einfamilienhaus (freistehend),nil,nil,3,2,nil,"3,13 % inkl. MwSt. vom Verkaufspreis","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-keller-label': ''}"
Charmantes Endreihenhaus in ruhiger Lage von Osdorf!,835.000 €,"Osdorf, 22609 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,125 m²,"344,74 m²",6.680 €/m²,Reiheneckhaus,45 m²,nil,3,2,nil,"3,13 % inkl. MwSt. vom Verkaufspreis","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-keller-label': ''}"
