title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
*RESERVIERT* Sofort verfügbar: Gepflegtes Reihenmittelhaus mit Terrasse und Loggia,430.000 €,"Peter-von-Koblenz-Straße 114,
71701 Schwieberdingen, Ludwigsburg (Kreis)",5,"122,81 m²",106 m²,3.501 €/m²,Reihenmittelhaus,"42,47 m²",sofort,4,1,nil,"2,60 % inkl. MwSt. vom Kaufpreis","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Geräumiges Haus mit 3 Wohneinheiten - Ideal für die ganze Familie!,Auf Anfrage,"71131 Jettingen, Böblingen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8,173 m²,1 m²,nil,nil,nil,nil,nil,4,1 Außenstellplatz,3.57%,{'is24qa-keller-label': ''}
*Seltene Stadtvilla in zentraler Lage *,1.248.000 €,"78315 Radolfzell am Bodensee, Konstanz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,"172,05 m²",222 m²,7.254 €/m²,Wohnimmobilie (sonstige),"61,17 m²",Sofort,3,2,nil,"3,57 % inkl. ges. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
"Repräsentativ, neuwertig, ruhig gelegen!",550.000 €,"79367 Weisweil, Emmendingen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","4,5","123,5 m²",395 m²,4.453 €/m²,Einfamilienhaus (freistehend),nil,nach Absprache,3,1,1 Carport,"3,57% inkl. 19 % Mwst.",{'is24qa-gaeste-wc-label': ''}
"Komplett saniertes Wohnhaus mit 5 Wohneinheiten und 10 Stellplätzen, Photovoltaikanlage",1.150.000 €,"72477 Schwenningen, Sigmaringen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","15,5",424 m²,1.428 m²,2.712 €/m²,Mehrfamilienhaus,100 m²,nil,nil,5,nil,"3,57",{}
Gepflegtes Einfamilienhaus mit Einliegerwohnung am beliebten Kapellenberg in Grafenau-Döffingen,895.000 €,"71120 Grafenau, Böblingen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","5,5",178 m²,877 m²,5.028 €/m²,Einfamilienhaus (freistehend),45 m²,nil,4,2,2 Garagen,"3,57 % inkl. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}"
Ein liebevoll gepflegtes Einfamilienhaus - mit Traumgarten - und - viel Platz für die Familie,670.000 €,"Ahornweg 6,
88441 Mittelbiberach, Biberach (Kreis)","7,5",173 m²,604 m²,3.873 €/m²,Einfamilienhaus (freistehend),40 m²,01.07.2024,5,2,2 Garagen,3 % zzgl. 19 % Mwst,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Haus mit vielseitiger Nutzung im Zentrum von Ebingen,270.000 €,"72458 Albstadt, Zollernalbkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,233 m²,151 m²,1.159 €/m²,Einfamilienhaus (freistehend),180 m²,nil,4,1,nil,"3,57% inkl. 19% MwSt. aus d. notariell. Kaufpreis",{}
Renditeobjekt für Kapitalanleger 4 - Familienhaus mit Garagen in Obernheim,690.000 €,"72364 Obernheim, Zollernalbkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",10,"283,5 m²",1.050 m²,2.434 €/m²,Mehrfamilienhaus,30 m²,nil,6,4,4 Garagen,"3,57% inkl. 19% MwSt. aus d. notariell. Kaufpreis",{}
Luxus trifft Moderne!! Eine Immobilie welche begeistert!,1.950.000 €,"88487 Mietingen, Biberach (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","4,5",411 m²,1.025 m²,4.745 €/m²,Wohnimmobilie (sonstige),272 m²,nach Vereinbarung,3,2,2 Garagen,"3,57 % inkl. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
Schönes 4-Familienhaus in Albstadt-Ebingen,320.000 €,"72458 Albstadt, Zollernalbkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,172 m²,566 m²,1.860 €/m²,Mehrfamilienhaus,nil,nil,4,4,nil,"3,57% inkl. 19% MwSt. aus d. notariell. Kaufpreis",{}
Kleines Einfamilienhaus im Bungalow-Stil mit tollem Garten in Rastatt-Ottersdorf,359.000 €,"76437 Rastatt, Rastatt (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,88 m²,639 m²,4.080 €/m²,Einfamilienhaus (freistehend),nil,Sofort,2,1,nil,"2,38%",{'is24qa-keller-label': ''}
Ihr kleines Zuhause. Einfamilienhäuschen mit Garten in Straßberg,83.500 €,"72479 Straßberg, Zollernalbkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,52 m²,109 m²,1.606 €/m²,Einfamilienhaus (freistehend),12 m²,nil,1,1,nil,"3,57% inkl. 19% MwSt. aus d. notariell. Kaufpreis",{}
Neuwertiges Einfamilienhaus mit Einliegerwohnung in Achstetten zu verkaufen,695.000 €,"88480 Achstetten, Biberach (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,161 m²,625 m²,4.317 €/m²,Wohnimmobilie (sonstige),"91,83 m²",10.2024,3,2,6 Außenstellplätze,"3,57 % inkl. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}"
Einfamilienhaus mit Garten in Ebingen,255.000 €,"72458 Albstadt, Zollernalbkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,125 m²,356 m²,2.040 €/m²,Einfamilienhaus (freistehend),45 m²,nil,nil,nil,nil,"3,57% inkl. 19% MwSt. aus d. notariell. Kaufpreis",{}
Wohnhaus mit Komfort - familienfreundliche Ortsrandlage,495.000 €,"74405 Gaildorf, Schwäbisch Hall (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","7,5",200 m²,434 m²,2.475 €/m²,Doppelhaushälfte,91 m²,nach Vereinbarung,4,2,5 Garagen,"3,57%","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-einliegerwohnung-label': ''}"
"Romantik pur! Das ""rote Haus"" mit verwunschenem Garten",680.000 €,"76275 Ettlingen, Karlsruhe (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",12,301 m²,970 m²,2.259 €/m²,Mehrfamilienhaus,nil,nil,nil,nil,nil,"3,57 % inkl. ges. MwSt.",{'is24qa-vermietet-label': ''}
Renditestarkes Wohn- und Geschäftshaus in zentraler Lage von Lenzkirch zu verkaufen,1.185.000 €,"79853 Lenzkirch, Breisgau-Hochschwarzwald (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",10,1.351 m²,876 m²,877 €/m²,Mehrfamilienhaus,nil,nil,nil,nil,nil,"3,57 inkl. gesetzl. MwSt.",{'is24qa-keller-label': ''}
Handwerker aufgepasst!,288.000 €,"78333 Stockach, Konstanz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,117 m²,601 m²,2.462 €/m²,Einfamilienhaus (freistehend),nil,nil,2,1,1 Garage,"3,57 % inkl. ges. MwSt.",{}
Ruheoase: Bungalow mit Blick ins Grüne,575.000 €,"74915 Waibstadt, Rhein-Neckar-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,126 m²,692 m²,4.563 €/m²,Einfamilienhaus (freistehend),6 m²,nil,2,2,nil,Courtage 4% zzgl. MwSt. a.d. Grundst.-Anteil,{}
Eine Ebene zum Aussteigen..,491.000 €,"74915 Waibstadt, Rhein-Neckar-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,96 m²,692 m²,5.115 €/m²,Einfamilienhaus (freistehend),6 m²,nil,1,2,nil,Courtage 4% zzgl. MwSt. a.d. Grundst.-Anteil,{}
Repräsentative Stadtvilla am Grünen,945.000 €,"74915 Waibstadt, Rhein-Neckar-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,247 m²,694 m²,3.826 €/m²,Einfamilienhaus (freistehend),7 m²,nil,5,4,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
