title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
In Top Lage helle Wohnung in Bremerhaven- Mitte zu verkaufen.,89.000 €,"Mitte, 27568 Bremerhaven
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,60 m²,1.483 €/m²,Sonstige,nil,nach Vereinbarung,1,1,nil,"3,57inkl. MwSt","{'is24qa-einbaukueche-label': '', 'is24qa-vermietet-label': ''}"
Exklusive Eigentumswohnung mit 2 Loggien in guter Wohnlage,399.000 €,"Gete, 28211 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,128 m²,3.117 €/m²,Etagenwohnung,nil,nil,3,1,nil,"2,50 %","{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
* OSTERHOLZ- SCHEVEMOOR│Renovierte 4 Zimmer-Whg. mit Wohnküche in guter Lage,185.500 €,"Ellenerbrok-Schevemoor, 28325 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,81 m²,2.290 €/m²,nil,nil,sofort oder nach Vereinbarung,3,1,1 Garage,"2,38 % des Kaufpreises inkl. MwSt., jeweils für Käufer und Verkäufer","{'is24qa-listonlyonis24-label': 'Nur hier gefunden', 'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Bremen-Riensberg | Helle und geräumige 4-Zi. Maisonettewohnung mit Balkon in gefragter Wohngegend,319.000 €,"Riensberg, 28213 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,105 m²,3.038 €/m²,Maisonette,5 m²,nach Vereinbarung,3,1,nil,"3,57% inkl. gesetzl. MwSt. (Käuferprovision) vom beurkundeten Kaufpreis.","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Schöne Wohnung mit Einbauküche und Balkon in Bremerhaven zu verkaufen.,98.000 €,"Lehe, 27576 Bremerhaven
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,74 m²,1.324 €/m²,Erdgeschosswohnung,nil,nil,1,1,nil,"3,57inkl. MwSt","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Zentrumsnah gelegene 4 - Zimmer Wohnung im Bremer Westend - Walle,269.000 €,"Westend, 28217 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,"125,17 m²",2.149 €/m²,Etagenwohnung,4 m²,nil,3,1,nil,"Käuferprovision: 3,25% inkl. 19% MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Bremen - Neubau Penthousewohnung direkt am Osterdeich mit Bad en Suite und Dachterrasse,1.999.000 €,"Steintor, 28203 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",10,"288,18 m²",6.937 €/m²,Penthouse,nil,nil,nil,nil,nil,"3,57 %",{'is24qa-personenaufzug-label': ''}
KÄUFERPROVISIONSFREI: Charmante Eigentumswohnung in toller Lage in Bremen|Vahr steht zum Verkauf!,159.000 €,"Neue Vahr Nord, 28329 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,"67,74 m²",2.347 €/m²,Etagenwohnung,nil,nil,2,1,nil,Käuferprovisionsfrei inkl. MwSt.,"{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Attraktive Eigentumswohnung mit schöner Loggia in guter Wohnlage,349.000 €,"Gete, 28211 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,112 m²,3.116 €/m²,Dachgeschoss,nil,nil,3,2,nil,"2,50 %","{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Kapitalanlage in HB-Woltmershausen: ETW und 2 Garagen,165.000 €,"Fedderwarder Weg 37,
Woltmershausen (Ortsteil), 28197 Bremen",4,"76,53 m²",2.156 €/m²,Etagenwohnung,nil,nil,nil,nil,nil,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Gröpelingen: freie 3-Zi-ETW in Hochparterre,124.500 €,"Beim Ohlenhof 23,
Gröpelingen (Ortsteil), 28237 Bremen",3,"59,61 m²",2.089 €/m²,Erdgeschosswohnung,nil,sofort,nil,nil,nil,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Kapitalanlage in Walle: 2 vermietete Erdgeschoss-Wohnungen nebeneinander,279.000 €,"Walle (Ortsteil), 28219 Bremen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,123 m²,2.268 €/m²,Erdgeschosswohnung,nil,vermietet!,nil,nil,nil,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Freie 2-Zi-ETW in oberster Etage mit Sonnenbalkon im ruhigen Köhlerhof,109.000 €,"Köhlerhof 15,
Gröpelingen (Ortsteil), 28237 Bremen",2,"52,34 m²",2.083 €/m²,Etagenwohnung,nil,sofort,nil,nil,nil,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
