title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Vermietete Wohnung in guter Lage von Falkensee - prima Kapitalanlage,298.000 €,"Montessoristr. 2,
14612 Falkensee, Havelland (Kreis)",2,"60,77 m²",4.904 €/m²,Etagenwohnung,nil,nil,nil,nil,1 Tiefgaragen-Stellplatz,"2,38%. Auch für den Verkäufer ist die AssetGate GmbH in gleicher Höhe provisionspflichtig tätig.","{'is24qa-personenaufzug-label': '', 'is24qa-keller-label': ''}"
WOHNPROJEKT IM RUPPINER LAND: LUXURIÖSES LEBEN IN EINEM VIERSEITHOF,387.000 €,"16845 Neustadt (Dosse), Ostprignitz-Ruppin (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,125 m²,3.096 €/m²,Etagenwohnung,nil,nil,3,2,nil,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Vermietete Wohnung mit Westbalkon + Pkw-Stellplatz in Ruhelage,150.000 €,"15366 Neuenhagen bei Berlin, Märkisch-Oderland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,45 m²,3.333 €/m²,nil,nil,nil,nil,nil,1 Stellplatz,"3,57%","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
Ferienwohnung am Ruppiner See,164.500 €,"An der Seepromenade 38-40,
16816 Neuruppin, Ostprignitz-Ruppin (Kreis)",2,43 m²,3.826 €/m²,Terrassenwohnung,nil,Ab sofort,1,1,nil,0%,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-als-ferienwohnung-geeignet-label': ''}"
Mikrowohnen in der Boomregion! - Mikroapartments in Neuruppin,178.000 €,"An der Seepromenade 3A,
16816 Neuruppin, Ostprignitz-Ruppin (Kreis)",1,30 m²,5.933 €/m²,Etagenwohnung,nil,Ab sofort,1,1,nil,0%,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-als-ferienwohnung-geeignet-label': ''}"
Ruhige Dachgeschosswohnung als Investment in Zeuthen bei Berlin,255.000 €,"15738 Zeuthen, Dahme-Spreewald (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,75 m²,3.400 €/m²,nil,nil,nil,nil,1,nil,3.57% inkl. 19% MwSt.,"{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
4 Zimmer in Seenähe,195.000 €,"16247 Joachimsthal, Barnim (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,87 m²,2.241 €/m²,Etagenwohnung,nil,sofort,nil,1,1 Außenstellplatz,"3,57 % inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
"Wohnen, wo andere Urlaub machen!",Auf Anfrage,"16775 Stechlin, Oberhavel (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,"94,1 m²",nil,Etagenwohnung,nil,nil,2,1,1 Außenstellplatz,"3,57 % inkl. gesetzlicher MwSt. bezogen auf den Kaufpreis","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': ''}"
4-Zimmer Dachgeschosswohnung mit Balkon & Tiefgaragenstellplatz,199.500 €,"14712 Rathenow, Havelland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,100 m²,1.995 €/m²,Maisonette,nil,nil,3,1,1 Tiefgaragen-Stellplatz,"3,57 % inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Kapitalanlage: vermietete Wohnung in toller Lage,169.000 €,"16247 Joachimsthal, Barnim (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,75 m²,2.253 €/m²,Etagenwohnung,nil,sofort,1,1,1 Außenstellplatz,"3,57 % inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
