title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
vermietetes Dachgeschoss mit Balkon,679.000 €,"Mainzer Straße 21,
Friedrichshain, 10247 Berlin",4,128 m²,5.305 €/m²,Dachgeschoss,nil,nil,nil,1,nil,"3,57 % inkl. MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-vermietet-label': ''}"
Urlaub über Berlin - Luxuriöse 2-Zimmer-Wohnung im Spreegold,599.000 €,"Friedrichshain, 10245 Berlin
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,72 m²,8.319 €/m²,Etagenwohnung,nil,nach Vereinbarung,1,1,1 Stellplatz,3.57 %,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
"DG mit Terrasse, vermietet",279.000 €,"Wrangelstraße 10,
Steglitz, 12165 Berlin",2,"67,34 m²",4.143 €/m²,Dachgeschoss,nil,nil,nil,1,nil,"3,57 % inkl. MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Helle Stadtwohnung im Andreasviertel,360.000 €,"Friedrichshain, 10243 Berlin
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,60 m²,6.000 €/m²,Etagenwohnung,nil,nach Vereinbarung,1,1,nil,3.57 %,"{'is24qa-personenaufzug-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
vermietete Stuckaltbauwohnung mit Loggia,449.000 €,"Stephanstraße 33,
Steglitz, 12167 Berlin",3,99 m²,4.535 €/m²,Etagenwohnung,nil,nil,nil,1,nil,"3,57 % inkl. MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
vermietete Wohnung mit Garten in Friedenau,229.000 €,"Schnackenburgstraße 7,
Friedenau, 12159 Berlin",1,"46,66 m²",4.908 €/m²,Erdgeschosswohnung,nil,nil,nil,1,nil,"3,57 % inkl. MwSt. vom Kaufpreis","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Stuckaltbauwohnung mit Balkon in Friedenau,698.700 €,"Wielandstraße 25,
Schöneberg, 12159 Berlin",4,"121,21 m²",5.764 €/m²,Etagenwohnung,nil,sofort,nil,1,nil,"3,57 % inklusive MwSt., vom Käufer zu zahlen; in gleicher Höhe werden wir vom Verkäufer vergütet","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Zentral gelegene Penthousewohnung mit Potential und Weitblick,470.000 €,"Kreuzberg, 10969 Berlin
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,72 m²,6.528 €/m²,Penthouse,92 m²,nach Vereinbarung,1,1,1 Stellplatz,3.57 %,"{'is24qa-personenaufzug-label': '', 'is24qa-keller-label': ''}"
Attraktive Altbauwohnung mit zwei Balkonen im beliebten Güntzelkiez,795.000 €,"Wilmersdorf, 10713 Berlin
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,97 m²,8.196 €/m²,nil,nil,nach Vereinbarung,nil,1,nil,3.57 %,"{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
"2-Zimmer Wohnung inkl. neuer EBK, im Wert von 10.000 €. 2 room´s included new kitchen worth 10.000 €",349.500 €,"Lichtenberg (Ortsteil), 10367 Berlin
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,"55,3 m²",6.320 €/m²,Etagenwohnung,5 m²,sofort,1,1,nil,"12.477,15","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
vermietete Altbauwohnung mit Balkon in Lichterfelde,209.000 €,"Müllerstraße 29,
Lichterfelde, 12207 Berlin",2,"67,08 m²",3.116 €/m²,Etagenwohnung,nil,nil,nil,1,nil,"3,57 % inkl. MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-vermietet-label': ''}"
