title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
3-Zimmer-Terrassenwohnung mit Garten,608.000 €,"Goethestraße 1,
83435 Bad Reichenhall, Berchtesgadener Land (Kreis)",3,"76,96 m²",7.900 €/m²,Terrassenwohnung,"6,45 m²",nil,2,1,1 Tiefgaragen-Stellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
NEUBAU +++ 2 - Zi.- Gartenwohnung,590.000 €,"Tannenfleckstraße 37,
82194 Gröbenzell, Fürstenfeldbruck (Kreis)",2,"63,71 m²",9.261 €/m²,Erdgeschosswohnung,nil,nil,1,1,1 Tiefgaragen-Stellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
3-Zimmer-Wohnung im 1. Obergeschoss,605.000 €,"Goethestraße 1,
83435 Bad Reichenhall, Berchtesgadener Land (Kreis)",3,"74,14 m²",8.160 €/m²,Etagenwohnung,"5,59 m²",nil,2,1,1 Tiefgaragen-Stellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Variante: 4-Zimmer-Wohnung im 1. Obergeschoss,1.152.000 €,"Goethestraße 1,
83435 Bad Reichenhall, Berchtesgadener Land (Kreis)",4,"141,3 m²",8.153 €/m²,Etagenwohnung,"11,82 m²",nil,3,2,2 Tiefgaragen-Stellplätze,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
IM BAU | 3-Zimmer-Gartenwohnung mit Hobbyraum im Souterrain in Waldtrudering,979.000 €,"Iltisstraße 67,
Waldtrudering, 81827 München",4,"96,3 m²",10.166 €/m²,nil,"121,4 m²",nil,2,2,1 Stellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
3-Zimmer-Wohnung im 1. Obergeschoss,703.000 €,"Goethestraße 1,
83435 Bad Reichenhall, Berchtesgadener Land (Kreis)",3,"86,25 m²",8.151 €/m²,Etagenwohnung,"7,32 m²",nil,2,1,1 Tiefgaragen-Stellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
DIE BESONDERE WOHNUNG!,658.000 €,"85604 Zorneding, Ebersberg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","4,5",112 m²,5.875 €/m²,Maisonette,nil,sofort möglich,3,nil,nil,"2,38% des Kaufpreises inkl. MwSt.",{'is24qa-balkon-terrasse-label': ''}
NEUBAU +++ 6 - Zi.- Wohnung mit Hobbyraum und großem Garten,1.252.000 €,"Tannenfleckstraße 37,
82194 Gröbenzell, Fürstenfeldbruck (Kreis)",6,"135,18 m²",9.262 €/m²,Erdgeschosswohnung,nil,nil,3,2,1 Tiefgaragen-Stellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
2-Zimmer-Wohnung im 2. Obergeschoss,457.000 €,"Goethestraße 1,
83435 Bad Reichenhall, Berchtesgadener Land (Kreis)",2,"55,05 m²",8.302 €/m²,Etagenwohnung,"5,74 m²",nil,1,1,1 Tiefgaragen-Stellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Neuwertige Top 2-Zimmer-Wohnung in Karlsfeld: modernes Wohnen auf 60 m²,580.000 €,"85757 Karlsfeld, Dachau (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,60 m²,9.667 €/m²,Dachgeschoss,nil,nach Absprache,1,1,1 Tiefgaragen-Stellplatz,"3,57% Käuferprovision inkl. gesetzl. MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
